Federal Neuro-Psychiatric Hospital, Aro - Abeokuta
Federal Neuro-Psychiatric Hospital, Budo-Egba, Kwara State
Federal Neuro-Psychiatric Hospital, Calabar, Cross River State
Federal Neuro-Psychiatric Hospital, Dawanau, Kano State
Federal Neuro-Psychiatric Hospital, Enugu, Enugu State
Federal Neuro-Psychiatric Hospital, Kaduna, Kaduna State
Federal Neuro-Psychiatric Hospital, Maiduguri, Borno State
Federal Neuro-Psychiatric Hospital, Kware, Sokoto State
Federal Neuro-Psychiatric Hospital, Uselu-Benin, Edo State
Federal Neuro-Psychiatric Hospital, Yaba, Lagos State
National Eye Centre, Kaduna, Kaduna State
National Ear Care Centre, Kaduna, Kaduna State
National Orthopaedic Hospital, Benin, Edo State
National Orthopaedic Hospital, Dala, Kano State
National Orthopaedic Hospital, Enugu, Enugu State
National Orthopaedic Hospital, Igbobi, Lagos State
National Orthopaedic Hospital, Jalingo, Taraba State
National Orthopaedic Hospital, Jos, Plateau State
National Obstetric Fistula Centre, Abakaliki, Ebonyi State
National Obstetric Fistula Centre, Benin, Edo State
National Obstetric Fistula Centre, Ningi, Bauchi State
National Obstetric Fistula Centre, Katsina, Katsina State
